text,label
usd_bin0 btc_bin4 netflow_bytes_bin1 clusters_bin2 port_bin1 time_bin0 protocol=TCP flag=APS family=Razy threats=Scan,Benign
usd_bin5 btc_bin5 netflow_bytes_bin7 clusters_bin0 port_bin1 time_bin1 protocol=TCP flag=R family=SamSam threats=Port Scanning,Benign
usd_bin5 btc_bin2 netflow_bytes_bin5 clusters_bin0 port_bin0 time_bin7 protocol=UDP flag=AP family=SamSam threats=Blacklist,Ransomware
usd_bin0 btc_bin5 netflow_bytes_bin1 clusters_bin0 port_bin0 time_bin7 protocol=UDP flag=AF family=DMALocker threats=Spam,Ransomware
usd_bin3 btc_bin6 netflow_bytes_bin0 clusters_bin0 port_bin2 time_bin2 protocol=UDP flag=AF family=APT threats=Port Scanning,Benign
usd_bin2 btc_bin0 netflow_bytes_bin5 clusters_bin0 port_bin0 time_bin1 protocol=UDP flag=ASF family=APT threats=DoS,Ransomware
usd_bin2 btc_bin1 netflow_bytes_bin0 clusters_bin0 port_bin0 time_bin5 protocol=TCP flag=A family=Razy threats=SSH,Benign
usd_bin3 btc_bin6 netflow_bytes_bin6 clusters_bin0 port_bin1 time_bin5 protocol=ICMP flag=AF family=JigSaw threats=UDP Scan,Benign
usd_bin4 btc_bin0 netflow_bytes_bin5 clusters_bin0 port_bin1 time_bin6 protocol=TCP flag=APSF family=APT threats=Botnet,Ransomware
usd_bin1 btc_bin7 netflow_bytes_bin3 clusters_bin0 port_bin0 time_bin6 protocol=TCP flag=AF family=Globe threats=Spam,Ransomware
usd_bin6 btc_bin2 netflow_bytes_bin2 clusters_bin0 port_bin0 time_bin4 protocol=TCP flag=AF family=EDA2 threats=SSH,Benign
usd_bin0 btc_bin1 netflow_bytes_bin4 clusters_bin2 port_bin0 time_bin7 protocol=TCP flag=APS family=JigSaw threats=UDP Scan,Benign
usd_bin0 btc_bin2 netflow_bytes_bin7 clusters_bin0 port_bin0 time_bin0 protocol=TCP flag=AF family=Locky threats=Botnet,Ransomware
usd_bin6 btc_bin2 netflow_bytes_bin2 clusters_bin0 port_bin0 time_bin1 protocol=TCP flag=AF family=Globe threats=Spam,Ransomware
usd_bin5 btc_bin3 netflow_bytes_bin1 clusters_bin0 port_bin1 time_bin1 protocol=TCP flag=ARF family=CryptXXX threats=Blacklist,Ransomware
usd_bin0 btc_bin1 netflow_bytes_bin5 clusters_bin0 port_bin1 time_bin3 protocol=TCP flag=APS family=Locky threats=SSH,Benign
usd_bin1 btc_bin4 netflow_bytes_bin7 clusters_bin0 port_bin1 time_bin4 protocol=ICMP flag=AF family=Razy threats=NerisBotnet,Ransomware
usd_bin7 btc_bin2 netflow_bytes_bin7 clusters_bin0 port_bin1 time_bin7 protocol=TCP flag=AF family=Locky threats=Spam,Ransomware
usd_bin5 btc_bin4 netflow_bytes_bin5 clusters_bin0 port_bin0 time_bin3 protocol=UDP flag=AP family=CryptXXX threats=Blacklist,Ransomware
usd_bin5 btc_bin5 netflow_bytes_bin7 clusters_bin0 port_bin1 time_bin2 protocol=TCP flag=R family=EDA2 threats=DoS,Ransomware
usd_bin4 btc_bin0 netflow_bytes_bin5 clusters_bin0 port_bin1 time_bin6 protocol=TCP flag=APSF family=Locky threats=Botnet,Ransomware
usd_bin0 btc_bin1 netflow_bytes_bin4 clusters_bin2 port_bin0 time_bin6 protocol=TCP flag=APS family=WannaCry threats=SSH,Benign
usd_bin4 btc_bin0 netflow_bytes_bin4 clusters_bin0 port_bin2 time_bin7 protocol=TCP flag=APSF family=CryptXXX threats=DoS,Ransomware
usd_bin4 btc_bin0 netflow_bytes_bin5 clusters_bin0 port_bin1 time_bin0 protocol=TCP flag=APSF family=DMALocker threats=Botnet,Ransomware
usd_bin6 btc_bin2 netflow_bytes_bin7 clusters_bin0 port_bin0 time_bin1 protocol=UDP flag=AF family=Locky threats=Spam,Ransomware
usd_bin5 btc_bin4 netflow_bytes_bin5 clusters_bin0 port_bin0 time_bin2 protocol=ICMP flag=AP family=EDA2 threats=Scan,Benign
usd_bin1 btc_bin7 netflow_bytes_bin1 clusters_bin0 port_bin0 time_bin4 protocol=ICMP flag=APS family=JigSaw threats=UDP Scan,Benign
usd_bin4 btc_bin2 netflow_bytes_bin4 clusters_bin0 port_bin0 time_bin0 protocol=UDP flag=ARF family=WannaCry threats=Botnet,Ransomware
usd_bin5 btc_bin3 netflow_bytes_bin1 clusters_bin0 port_bin0 time_bin0 protocol=UDP flag=ARF family=JigSaw threats=SSH,Benign
usd_bin3 btc_bin1 netflow_bytes_bin3 clusters_bin0 port_bin0 time_bin7 protocol=TCP flag=APS family=EDA2 threats=SSH,Benign
usd_bin2 btc_bin7 netflow_bytes_bin7 clusters_bin0 port_bin2 time_bin3 protocol=UDP flag=R family=Razy threats=NerisBotnet,Ransomware
usd_bin2 btc_bin0 netflow_bytes_bin4 clusters_bin0 port_bin0 time_bin7 protocol=UDP flag=ASF family=APT threats=SSH,Benign
usd_bin4 btc_bin5 netflow_bytes_bin5 clusters_bin0 port_bin0 time_bin6 protocol=UDP flag=AF family=APT threats=Port Scanning,Benign
usd_bin6 btc_bin6 netflow_bytes_bin0 clusters_bin0 port_bin2 time_bin0 protocol=ICMP flag=AF family=Cryptohitman threats=UDP Scan,Benign
usd_bin2 btc_bin4 netflow_bytes_bin2 clusters_bin0 port_bin1 time_bin0 protocol=ICMP flag=APRSF family=WannaCry threats=Port Scanning,Benign
usd_bin0 btc_bin4 netflow_bytes_bin2 clusters_bin2 port_bin1 time_bin0 protocol=TCP flag=APS family=JigSaw threats=Spam,Ransomware
usd_bin0 btc_bin4 netflow_bytes_bin2 clusters_bin2 port_bin1 time_bin6 protocol=TCP flag=APS family=JigSaw threats=SSH,Benign
usd_bin2 btc_bin6 netflow_bytes_bin5 clusters_bin0 port_bin2 time_bin2 protocol=ICMP flag=AF family=WannaCry threats=SSH,Benign
usd_bin7 btc_bin6 netflow_bytes_bin1 clusters_bin1 port_bin2 time_bin5 protocol=UDP flag=AF family=Flyper threats=Port Scanning,Benign
usd_bin3 btc_bin0 netflow_bytes_bin0 clusters_bin0 port_bin2 time_bin6 protocol=ICMP flag=AF family=Locky threats=Scan,Benign
usd_bin0 btc_bin2 netflow_bytes_bin3 clusters_bin2 port_bin1 time_bin6 protocol=TCP flag=APS family=WannaCry threats=SSH,Benign
usd_bin6 btc_bin2 netflow_bytes_bin3 clusters_bin0 port_bin0 time_bin3 protocol=UDP flag=AF family=Locky threats=Spam,Ransomware
